batch,index,music,hashtag,author,likes,comments,shares,saves
2,15,original sound - SigelArts,@ring,sigelarts,336500,527,26800,4423
2,16,original sound - @S_a_l_a_m@ (Probashi),"fyp, fyp%E3%82%B7%E3%82%9Aviral, unfrizemyaccount%F0%9F%98%AD, bangladeshiprobashi%F0%9F%87%A7%F0%9F%87%A9, likecomment, copylink%F0%9F%99%8F%F0%9F%99%8F%F0%9F%99%8F, allmuslims, alltiktokers, alltiktok, fnds, islamivedio",mdsalammdsalam5802,60700,574,3848,3703
2,17,original sound - brendao412,"petcats, petsfunnyvideos, kucing, cutecats, comel",funnyeqvgwh,573500,4179,74700,18300
2,18,original sound - American classic cars,,thecustomizedride,114500,1013,10900,9477
2,19,Billie Jean - Michael Jackson,"parrot, parrotsoftiktok, bird, pet, cute, foryou, tiktok",bibicockatiel,613100,22300,48300,142300
2,20,original sound - Getti,"familythings, rollingpingpongs, prizeboxes, partygames, lasvegas",gettishow,202000,3028,11300,1038
2,21,original sound - Bobbi,,bobbialthoff,271600,1381,5228,1560
2,22,kai bomboclaat - 6’2 with dreads btw,,brookemonk_,448700,2537,36900,2179
2,24,original sound - Baking So Easy,,bakingsoeasyfuni2,98800,1518,41000,31300
3,0,original sound - NFL,"liljon, ludacris, usher, applemusichalftime, nfl",nfl,1800000,17600,109000,33500
3,1,original sound - NFL,"@softysoftmew, nfl, superbowl, doratheexplorer",nfl,504500,3651,33700,41300
3,2,original sound - NFL,"usher, aliciakeys, applemusichalftime, nfl, superbowl",nfl,201400,1534,8878,4902
3,5,Type Beat Lil Durk X 42 Dugg - Winner - Type Beats Trap,"taylorswift, icespice, blakelively, nfl, superbowl",nfl,289600,3317,11000,2769
3,7,original sound - NFL,"traviskelce, taylorswift, nfl, superbowl, kansascitychiefs",nfl,418600,4087,21700,8503
3,9,original sound - NFL,"doratheexplorer, nfl, superbowl",nfl,699600,4209,40600,41900
3,11,original sound - NFL,"traviskelce, kansascitychiefs, nfl, superbowl",nfl,207900,2454,8208,2687
3,17,original sound - NFL,"usher, applemusichalftime, nfl, superbowl",nfl,26300,702,1520,672
3,18,original sound - NFL,"taylorswift, nfl, superbowl",nfl,629700,7016,25000,36000
1,0,Barbie - JaidynAlexis,@uhitsemm,zoe.ebarb,117900,405,22600,691
1,1,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21400,111,2374,767
1,3,Bundles (feat. Taylor Girlz) - Kayla Nicole,"gyat, recoil, baddie, trendingvideo, egirl, fyp%E3%82%B7%E3%82%9Aviral, fakebody, fitcheck, xyz, abcxyz, dance, gymfit, tights, leggings",heavenlyhotties,63500,181,9147,202
1,4,original sound - Brett_Michaels,"squattedtrucks, carolinatrucks, trucks, carolinasquat, diesel",brett.michaels,23100,160,4536,774
1,5,original sound - andy,,agc.andy,299300,1029,31800,3655
1,7,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"randomfacts, facts, curiosity, knowledge, didyouknow",__.random.facts.___,8057,11400,1333,7095
1,8,original sound - I LOVE JESUS,"jesus, divinesanctuary, jesuslovesyou, messagefromgod, valentine, reppnforchrist, america",lovejesusdaily,128199,40200,35400,9351
1,9,original sound - Kriss&Esme,"grwmroutine, grwm, getreadywithme, schoolrules, schoollife, grwmforschool, grwmmakeup",krissleos,671800,5902,53600,571
2,0,original sound - W E S 🎼,,livia.kapelari,2300000,33200,147400,42600
2,2,original sound - Steve,,projectbabykb,908600,2528,71000,1895
2,5,original sound - esli !,"fyp, foryoupage, viral, viral%3F, sneakingout, maruchan, fyp%E3%82%B7",.eslis,430500,1419,52800,454
2,8,original sound - Logan,"@lalisa_man0ban_123, top10, mostbeautiful, ranksie, fyp",good.sneeds,88500,22800,17800,22700
2,9,Bongos (feat. Megan Thee Stallion) - Cardi B,,theneelajolenee,157700,6176,19000,9282
2,10,That's My Best Friend - Tokyo Vanity,fyp,jayden.hurst,107200,408,11800,463
2,13,another love - ✨️,"fyp, foryou, foryoupage, relationship, heartbroken, emotional, sad, shocking, watchtillend, gf, bf, cheating, viral",dailytokky,611300,2572,60800,2068
2,14,Back It up and Dump It (Dump Truck) - GC Eternal & Kinfolk Thugs,,mya.nicole_,11900,78,1742,44
2,16,Dc mig og joseee - Anna Liva Öhlin🪩,"trend, fyp, girl, dance, girldance, unioutfitideas",vika.krez,218300,558,24900,1096
2,19,original sound - @CutieMukie,,jaydac_07,735400,7555,73800,3972
2,20,Moon - Siggerr,"valentine, crush",iwantacinnamonroll,758200,5107,79500,3688
2,21,original sound - parker,,parkercant,14000,119,1041,86
2,22,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,349900,2923,27700,9822
2,23,original sound - Mama G,,mamag50_6,6800000,8486,447200,36500
2,24,original sound - Lorena Abreu,"dora, cosplay, ax, fyp, doracosplay, dominicandora, dorarheexplorer, funny, dominicana, rd, platanopower, stunts, stuntdouble, calisthenics, parkour, freerunning, explorepage, trending, sctop10, viralvideos, nyc, backflip, comiccon, lacomiccon",lorenaparkour,2200000,17900,362000,65500
2,25,original sound - TomerLawton,,lawton_live,8510,58,694,19
3,0,original sound - Roman Corona,"funny, funnyvideos, scaryvideos",romancorona6,1100000,17000,101400,89200
3,2,original sound - Trashygasstationlady,cashier,trashygasstationlady,698700,5488,55600,23600
3,3,original sound - Wuizzy,"@ratgooder, @mqxify, theroadtoeldorado, chel, pixar, disney, cheledit, viral, edit, blowthisupp, dontletthisflop, quizkaii, foryourpage, fyp",quizkai,387000,3209,80100,3575
3,5,original sound - Amelia Ivy 🦄,,ameliaivy.yoga,2151,30,292,22
3,6,original sound - Ken & Mel 𖨆♡𖨆,"kenandmel, @kenandmeli",kenandmel,76700,161,6727,153
