batch,index,music,hashtag,author,likes,comments,shares,saves
4,18,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,551200,4900,56200,18300
4,20,original sound - Athena Peros,,athena.parisss,148600,1962,6200,3335
4,21,original sound - 💟,"wheresmusically, grounded, 2019, confused, funny, fyp",tomboywolf123,711400,20500,43000,966
4,23,original sound - Dayquan & Arianna,,dayandari,224800,1284,23600,1506
4,25,Fortnite Coral Chorus Lobby Music - rexqer,,gg.angela,3400000,17600,281400,86100
4,26,original sound - KC,"northwest, kimkardashian, kardashians, fyp",kardahiansclips,1600000,6770,69100,11700
4,27,original sound - Jason Momoa,@tatemcrae,prideofgypsies,6400000,57100,276100,132400
5,0,original sound - TrainPal,"dogsoftiktok, fyp",nadaliaaaa,7800000,17800,341200,75500
5,5,original sound - ur.fav.girl.trce🤟,"fyp, foryou, trend, crush, trending, foryou, @all.in.faith",autumnnmonique,150000,4540,16200,3500
5,6,BOBBLEHEAD (She's A BobbleHead) [remastered] - FiyaBoi,"bobblehead, buzzin",erica.smith007,65,4,4,1
5,8,YKWIM? - 东 百 下小 雨,"viral, sad, love, pain, real",silkyslive,343200,6260,47500,2353
5,9,original sound - ✨DLA Fam✨,"family, 6foot10, 5foot2",dla_fam,2800000,28900,153100,16600
5,10,origineel geluid - Mo_vdbb,"fyp, foryou, fy, foryoupage, foryourpage, viral, xyzbca, hair, hairstyle, men",mo__vdbb,505100,5502,47000,3820
5,11,original sound - The Grimwade Family,"wopchallenge, crystalgirls, crystalpalacecheerleaders, cheerleaders, crystals, cpfc, fyp, dancers",thecrystalscpfc,69700,285,5014,225
5,13,nhạc nền - Salishi2,"salishmatter, hudsonmatter, saysaymatter1, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymatter",salishi2,140600,313,11300,172
5,14,original sound - Cameron Roh,fyp,cameronrohpovs,1200000,15700,170800,14400
5,15,original sound - lilyachty,,lilyachty,8800000,37000,380200,24100
5,16,original sound - Luxury Life,"@brittneycastro256, moana, actingaudio, liveaction",n1.que,726800,2025,39400,745
5,17,girls like you cardi verse - barbie,"@iamcardib, @maroon5, foryou, fyp, girlslikeyou, cardib, maroon5, iconicsongs",popcultureminaj,2600000,4439,237300,7854
5,18,original sound - Mama G,,mamag50_6,7400000,16700,621800,23200
5,19,original sound - - 𝓇𝒾𝓇𝒾 ☆,"zpt, zepetoy2k, y2kzepeto, zepetofyp, zepetofyp%E3%82%B7, like, comment, share, fyp, fyp%E3%82%B7, viral, viralvideo, y2k, foryou",.serenity76,47,4,8,2
5,23,Love You So - The King Khan & BBQ Show,"viral, valentinesday, fyp, boyfriend",andrea.lopez44,171300,522,13100,3568
5,24,Originalton - messy tea,"dancemoms, hair, aldc, fyp, fyp%E3%82%B7, funny",messy.tea,249100,1140,20400,519
5,25,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,234300,7783,29800,27000
5,26,Lovin On Me - Jack Harlow,"4foot8, 6foot10, fyp, fypviral, short, tall",bbelllav_,35100,365,1919,647
5,27,original sound - Jett,"@sadieclarkkk, wonka, timothee, timotheechalamet, willywonka",errushka,378000,4341,37000,2775
1,3,original sound - SwagBoyQ on IG,"publicinterview, swagboyq, gift, fyp",swagboyq,52200,200,3049,40
1,5,UH THANKS FOR USING MY SOUND - ☆ Clyde / Luna ☆,,vera.jrr,237400,11100,23200,871
1,7,Renee - SALES,"doublejawsurgeryrecovery, doublejawsurgery, doublejawsurgeryjourney, braces",virginiaeelder,2600000,19300,72300,20000
2,0,original sound - TIANA ᥫ᭡,@cassandramaedavis26,kels.aff,123800,539,7387,713
2,1,PLASTIC - Unghetto,"@cassie.liza, partnerchallenge, partnerstunt, liftchallenge, squat, deadlift, curl, hipthrust",2hot4u__,665700,2582,101600,33100
2,7,original sound - KhianKB,"badpeoplescardgame, dycegamespartner, edno, khiankb, comedy, funny",khian.kb,303900,948,32400,4031
2,8,House of Memories with guitar christianrlocke - Christian,"mom, baby, tiktokmakemebuyit",totlock01,38300,1019,5637,1115
2,9,original sound - lukekirchhoff,"patience, challenge, magic, foryou, fyp",lukekirchhoff,481500,29500,55400,11200
2,11,original sound - DavidUploads,,daviduploadsvlogs,2000000,6792,201300,15000
2,12,original sound - Logan Miller,,loganmillerx,198100,616,11700,206
2,13,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"randomfacts, facts, curiosity, knowledge, didyouknow, learnontiktok",__.random.facts.___,13900,16900,2119,8917
2,15,original sound - Oxygen Esports,"@travelforfun5000, valorantfunny, funny, gamingmemes",oxg_esports,342300,2086,38100,14700
2,16,nhạc nền - Hannah and Regal,"husbandwife, dadjokes, viralvideo, titkok, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, trendingnow",hannaahandregal,35400,205,2787,776
2,20,Bow Bow Bow (F My Baby Dad) - Sexyy Red,,brookemonk_,195400,673,9996,482
2,21,sonido original - gala souto,@eugemendd,galasouu,6100000,16700,638400,24800
2,22,original sound - elly♡,,ellycifuentes,882000,2593,55500,1213
2,24,original sound - ugh madison,,ugh_madison,1300000,2678,102900,2038
2,25,original sound - Cameron Roh,fyp,cameronrohpovs,585000,16600,124200,12600
2,26,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"fyp, foryou, viral, fyp%E3%82%B7",anxietycouple,139500,415,12200,739
3,0,original sound - Brea 🐰🩷🫧,"liluzivert, pinktapeliluzivert, pinktapetour, uzi, phillytiktok, philly, fyp, foryou, lostphone, gianna, raven, wellsfargocenter",x.brea_,1800000,2246,149100,955
3,1,original sound - Arianah,"adrien, adrienagreste, emilieagreste, viral, fyp, mlb, miraculousladybug",arianahx2,558300,9650,94800,19500
3,2,Fireball Challenge - 🕺🏼Hoodie fam🌏,thetrilogytour,pitbull,760600,2821,37000,4008
3,5,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,45100,3925,8037,264
3,7,original sound - Curious Feed,"boys, satisfying, curiosity",curiousfeed,105300,3106,13100,42300
3,8,original sound - user73102169903,,deartfiuko3,63400,18400,3604,1362
3,10,original sound - Tyler Oliveira,,tyler.oliveira,63500,429,5562,107
3,11,original sound - gianna,,giannamjoyce,958900,6697,50300,1508
3,12,Hahahaha again - Kelsey🪖💐,"like, follow, share, comment",shelbyacat,306300,1261,52900,4005
3,17,sonido original - 🤍,,rishacantdance,1900000,3025,85400,7955
3,18,this feeling - Øneheart,"obabubba, fouryoupage, viral, xyzbca",obabubba2,41800,219,5772,127
3,20,original sound - AGGAYUCITA<3,,aggayucita,2200000,16900,249000,42800
3,22,Ick - Alt Ending - Lay Bankz,,lexibrookerivera,1500000,8108,118900,10100
