batch,index,music,hashtag,author,likes,comments,shares,saves
3,4,orijinal ses - caner,"@salishmattersx, fyp, viral, salishmatter, fyppppppppppppppppppppppp, viralvideo, tiktok, dance, befamous, fyp, salishmatter, nidalwonder, popular, viral, realsalishaccount, bestfriends, duo, everywhereigo, trend, trending",nidalspams,503300,3767,38600,936
3,5,original sound - ElysiumCrux,,miawaiifuxo,38000,1035,3303,83
3,6,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,255600,990,49600,1831
3,7,original sound - doffysmelio,"@lashedchars, fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, fame, fanpage, fp, fan, cg, coloring, charlidamelio, char, charli, charbar",marschvarl,241,29,27,0
3,8,son original - prof.star,"test, professor, correction, school",prof.star,3000000,53500,216200,100500
3,9,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,97100,685,8775,311
3,10,nhạc nền - Kiara,"salishmatter, hudsonmatter, saysaymatte, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymattter",kiara_fanus,282700,1093,22900,609
3,11,big boy sza - normusreedus,"viral, foryou, fyp, pastorbelga, groenandael, perrostiktokers, zoldyckfamily",drakko_1710,6300000,59300,396600,128600
3,12,YoungBoy - 💗,"nbayoungboy, yayamayweather, bluescrubspinkcrocs, hannahpoole",theehannahpoole,516100,4570,31000,4998
3,13,original sound - Kendalle Dabrat,"fyp, plane",bracefacekendalle,403000,3470,45500,1284
3,14,nhạc nền - Justin Flom,"justinflom, magician, streetmagic, funnyvideos, viral, fyp",justinflom.clip,46500,163,3356,370
3,15,Never Lose Me - Flo Milli,"badkidprom2023, seraphandroman",_seraphsworld_,649100,2957,64000,2343
3,16,Love You So - The King Khan & BBQ Show,"viral, valentinesday, fyp, boyfriend",andrea.lopez44,172600,532,13200,3667
3,17,son original - RAPoXygène,,ashleyylreyy,279700,1917,35000,3750
3,18,original sound - deandreknowles96,,novukaa,293300,1225,17100,771
3,19,orijinal ses - caner,"takelookmygirlfriend, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, doratheexplorer, fyp%E3%82%B7%E3%82%9A, jayjay, foryoupage, fyp%E3%82%B7, rizz",lauren__jayden,1700000,30000,227900,60400
3,20,original sound - alex,onthisday,andrewemily16,19800,254,1098,213
3,21,real - blizz △,"runningaway, vent, mentalhealth, mentalhealthawareness, mentalhealthmatters, recovery, mentallyunstable, emotionaldamage, emotionallyunstable, emotionallyunavailaible, runningawayfromhome, fy, fyp, fyp%E3%82%B7",stellisaurus,512600,1573,62100,1216
3,22,original sound - lilyachty,,lilyachty,8800000,37000,380200,24100
3,23,you are my sunshine - christina perri,"lostchild, grief, angel",jomini,1500000,3039,52400,12500
3,24,original sound - Lara Rose,"fyp, skit",lararoseb,234800,1467,35300,1460
3,25,original sound - bladebrella.com,,bladebrella.com,613600,3129,70400,10200
3,26,som original - Tal pai tal filho,,babyjoaomiguel07,2300000,33200,166300,164400
3,27,original sound - 𝑛𝑒̀𝑙𝑙𝑎ଓ,"twins, mixup",starandshontwins,179500,637,6049,987
3,28,original sound - Mr. Chamberlain,greenscreen,doulieupnext,120400,59300,23200,2841
4,0,оригинальный звук - никто,,realburnttoasthehe,309200,1018,45500,3355
4,1,original sound - Brooke 👩🏼‍🎤,"@ayetaetae_, @sgc_von",nadeshaig,67000,320,5909,186
4,2,MOBBIN brill and spence verse - Jabril Evans,"fyp, fyp%E3%82%B7, xybca, viral, 09",valxri.x,297100,2544,15600,1794
4,3,Unlock it (Lock It) [Jeff Prior Mix] - Charli XCX,"tracing, digitalart",anykailart,435300,3886,41400,729
4,4,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2100000,4374,167400,16600
4,5,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, tiktokmademebuyit, brighteyes, redlight, lifehacks, monkey",luminancered,608600,2302,50800,1860
4,6,original sound - Lara,"fyp, skit",wittlelararose,17700,61,4262,40
4,7,som original - rinx,"therianboy, fyp, therianthropy, quadrobics, dlaciebie, handmade, realwolfmask, therianwolf",wolf.spectrum,1306,211,623,3
4,8,original sound - Wren & Jacquelyn,drinkchallenge,wren.eleanor,554600,2116,20700,1559
4,9,original sound - Y7,"fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, fyp, famous",braebrae60,202600,603,7674,158
4,10,Habibi (Albanian Remix) - Ricky Rich & Dardan,"millionaire, besties, rich",lionlindaa,2600000,17700,147800,41600
4,11,original sound - slspalace,"candaceowens, candacereacts, lilrt, children, rapping",sealspalace,144600,12000,31700,1623
4,12,original sound - ashley rose,,ashleyroseclips,14900,82,1480,6
4,13,original sound - lorena ross,"barista, nascar",nextdoorasianlatina,12100,1085,4816,407
4,14,original sound - Eliza,"singlewoman, divorced",eliza.1iza,97500,37200,3643,4693
4,15,original sound - Athena Peros,,athena.parisss,148900,1966,6207,3344
4,16,Love You So - The King Khan & BBQ Show,"icespice, fypdonggggggg, fyp%E3%82%B7%E3%82%9Aviral",biloveu7,205100,837,32100,1514
4,17,original sound - Brittany Muddamalle,"multiracialfamily, tiktokfamily, whitemom",almostindianwife,1100000,3838,53700,8107
4,18,joshuasamuels follow me - 00:00,foryoupage,secretlifeofroma,1100000,6474,70000,4281
4,19,nhạc nền - Survival Channel,"halleyquinn, granny, huggywuggy, troll, scarytiktoks, scaryteacher, scayteacher3d, scaryteachergame, niece, nick, tani, hero, funny, funnyvideos, parati, paratii, fyb, fyb%E3%82%B7, vairl, vairal, coffindance, squid, squidgamenetflix, squidgame, trending, trend, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypdongggggggg, vairalvideo, bravo, brave, cartoon, animation, animations, squidgame, squidgamenetflix, superman, usa, usa%F0%9F%87%BA%F0%9F%87%B8, usatiktok, us",survivalnature_channel,639300,11900,100600,249800
4,20,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,97700,666,16500,358
4,21,daddys home - 𝓢𝓹𝓸𝓽𝓲𝓯𝔂 𝓛𝔂𝓻𝓲𝓬𝓼,"lorax, daddyshome, joshhutcherson, bomboclaat, babysitting, gyat, fyp",joelle_94,8900000,40600,770900,118200
4,22,original sound - beasuser,,matthewsieverin,52800,692,12000,260
4,23,original sound - EX7STENCE™,,jorge_arritola,6565,15,229,14
