batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - amber wolf,"gaming, funny, warzone, wz2, callofduty",amberwolf20,102400,787,8342,198
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,2,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,3,Epic Inspiration - DM Production,,graciebonr,167500,4142,57700,17500
1,4,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,272100,1622,85100,4342
1,5,Ick - Alt Ending - Lay Bankz,,blondielovesballs,11400,418,3866,215
1,6,오리지널 사운드 - ZEPETO Official,"blackfridayzepeto, capcut, blackfridayzepeto, BlackFridayZtyle, ZEPETO, Blackfriday2023, BlackFridayZepeto, ZEPETO, BlackFriday, blackfriday2023, blackfridaydeals, blackfridaysale, ootd, zepetofyp, fyp, zepetoedit, zepetopreppy, zepetofamily, imvu, roblox, sims, minecraft",zepeto.official.tt,16700,385,2574,168
1,7,I Have No Enemies - ★DGK132105,,itsmiawaifu,45200,1033,13400,1494
1,8,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,261700,2916,27900,2454
1,9,original sound - madi,"fyp, makemeviral, fyp%E3%82%B7%E3%82%9Aviral, maj, blowup, makemefamouse",shelovesmxj,165600,1653,32200,950
1,10,original sound - Breckie Hill,@henry_hockey777,breckiehill,214800,1168,20700,695
1,11,original sound - JSCM_movies,"movies, foryou, movie, movieclips, fyp",jscm_movies6,590100,19800,112200,12800
2,0,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,143900,3721,9998,814
2,1,original sound - abby :)🔅,"pregnant, findingoutimpregnant, pregnancy, pregnancytest, pregnancytiktok, preggo, fyp, foryourpage, funny, 17, boyfriend",abby.brook3,1500000,7924,70900,9044
2,2,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
2,3,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,95300,10500,15600,5770
2,4,nhạc nền - Meme Love,,memeking8386us1,293500,7623,52600,10500
2,5,Yeah! (feat. Lil Jon & Ludacris) - Usher,"anniversary, confessions",usher,424400,2842,22900,6801
2,6,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,67700,1567
2,7,Love Is Beautifully Painful (Ghost Duet Version) - Darkrose,"fyp, foryou, foryoupage, emotional, dad, son, trans, viral",dailytokky,389900,6698,49100,7139
2,8,sunet original - Victor drx99,"zyxcba, fyp",levi_neal14,603800,3639,40900,3035
2,9,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,407600,1759,44200,7077
2,10,original sound - heyy! 🦋,"toeasy, backetball%F0%9F%8F%80%E2%9D%A4%EF%B8%8F%F0%9F%92%A5, viralvideo, fyp",quaygang1,48700,1254,14200,17400
2,11,som original - lalarinha,,breckiehill,73200,1114,80900,749
2,12,original sound - Lara,"fyp, skit",wittlelararose,17700,61,4267,41
2,13,original sound - cadaea,,cadaea,613600,5215,93900,9839
2,14,original sound - haleyybaylee,,mmmjoemele,3700000,27200,403300,46700
2,15,original sound - 🎧🎵,"fy, fyp%E3%82%B7, vairal, xzyabc, foryou, preppy, stanleycup, tiktok, like, follow, goviralgo, thursday, skincare, glowrrcipe, drunkelephant, sephora, watermelon, vanity, preppyaesthetic, preppylifestyle, afternoon, pink",livewgiulia,137400,19500,36300,9637
2,16,original sound - Ashinkashe,@enhypen_12conect,zhilxr,40100,1364,5148,321
2,17,original sound - Modeli,,smelimodeli,174300,834,45500,1058
2,18,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,77900,532,11800,689
2,19,original sound - I olny have eyes for him❤️‍🩹,,olnyeyesforhim34,46,2,1283,0
2,20,original sound - Julia,,krissymfkummins,2500000,21400,258300,132000
2,21,Drilla - Opps & Blocks,"tall, family",marietemara4.0,7361,190,1307,18
2,22,original sound - Gary The RC car,"ica, sverige, sweden, rccar, rc",garytherccar,157700,550,14100,1705
