batch,index,music,hashtag,author,likes,comments,shares,saves
5,24,original sound - 𝐤𝐫𝐢𝐬 🧸ྀིྀི !!,"missycooper, foryou, foryoupage, fyp, actives, vsp, videostar, videostaredit, videostartutorial, coloringtutorial, videostarcoloring, vsedits, edit, qrcode, qrcodes, vsqrcodes, flopera, krissaily, strangerthings, strangerthingsedit, youngsheldon, missybeingmissy, georgecoopergettingroasted, stacyandmateo",krissaily,706400,4218,145800,2686
5,26,original sound - scarlett ʚɞ,"fyp, hellokitty",mattyu40,2200000,26100,274500,34100
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,3,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,44100,39500,16200,8519
1,5,original sound - Modeli,,smelimodeli,174000,833,45400,1051
1,6,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,271800,1619,84500,4334
1,8,Asn - thsituan._.,,ccabots,202100,4688,123600,3802
2,1,KYLE RICHH x NO MORE EXCUSES - EazyOnTheTrack,,ema_bb0,123700,737,17700,1098
2,2,sunet original - Victor drx99,,user1627283939918272,920600,4661,51100,4735
2,3,Ick - Alt Ending - Lay Bankz,"@nevstudioofficial, @vitalydesign",arshia_._bk,749600,18500,80400,12100
2,14,original sound - cadaea,,cadaea,613200,5193,93800,9834
2,17,original sound - Put A Finger Down,,jordansmikle,297300,34200,29800,208900
2,18,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,77900,532,11800,689
2,20,original sound - $,,jordansmikle,859600,14900,58900,3975
2,22,original sound - kahu,"foryou, fyp, funny, tiktok, movie, %F0%9F%98%82%F0%9F%98%82%F0%9F%98%82",tkdsbpnanzn,52100,172,4553,264
2,25,original sound - TheFeedski,,thefeedski,94500,755,6045,647
2,26,original sound - Meisjedante <3,"fyp, foryou, moviestarplanet",vaislai,82,3,6,0
2,27,brian is the most beautiful - ❀,"viral, fyp, real, mentalhealth, relatable, sad, sadrelatable, imtired, mentalhospital",someone...idk7,1000000,0,67600,1563
2,28,original sound - Brooke 👩🏼‍🎤,,nadeshaig,50400,173,4695,126
3,4,original sound - ElysiumCrux,"fyp, watchmy9millimetregobang, car",lelasohna,602400,3495,120500,7564
3,5,1 second count / when button pressed / time signal 03(1107043) - QUESS,"noncity, yap, interestingfacts",noncityyy,301800,74100,41700,55000
3,11,original sound - 🕷,"fyp%E3%82%B7%E3%82%9Aviral, relatable, inhaler",solo.aasiaa,408000,2804,34300,1911
3,12,original sound - Funny,,baby_ok7,3100000,34500,377700,81100
3,13,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"teachersoftiktok, teachersdressedasstudents, teacherfun, blackteachersontiktok",brittan.ya,3600000,38700,268100,101500
3,16,original sound - CFood_dbe,reels,cfood_dbe,343100,2441,31600,7699
3,18,original sound - EX7STENCE™,"arelymurgo, myself",arelymt7,10100000,218900,364000,22500
3,20,Daddy issues - Star <3,"essadogs, emotionalsupportstuffedanimal, plushdog, stuffedanimal, stuffedanimaldog, douglasdog, douglasdogessa, essa",th0se._calm1ng.canines,61,28,18,1
3,22,原聲 - IMZ1 | GIRLS BAND,,hotblockchain,35600,192,5764,282
3,27,original sound - Batsy🦇🕴🏽,"fyp, viraltiktok, miracolousladybug, voiceovers, foryourpage",batmandontgaf,1400000,13800,269400,23800
4,3,original sound - Ralph Childs,"kidsbelike, funnyy, fam, holiday",artisey,5600000,39300,462600,190400
4,4,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,259600,2875,27500,2413
4,5,original sound - allison,fyp,redhairgorl,149800,823,28900,2165
4,8,Ambition For Cash - Key Glock,"challenge, fyp, coupleschallenge, gym, gymtok, fitness, fyp%E3%82%B7, lifteachotherup, couple, portugal",ellanapper5,846900,1038,104900,17000
4,9,vampire - Olivia Rodrigo,"lisa, blackpink, kpop, jisoo, ros%C3%A9, jennie, confetti, yg, fyp, fyp%E3%82%B7%E3%82%9Aviral, viral",kpopblinksss,35600,106,4060,133
4,10,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
4,12,original sound - Violet,sexxyred,js.userr66,47600,796,11500,1940
4,13,original sound - Tony & Angel,"flightattendant, rescue, scary, flight, airplane",tonylovesangel,202600,707,15400,526
4,18,original sound - yana ୨ৎ,"@summerxiriss, @theaishahsofey",sophieraiin,522700,3081,83700,7380
4,20,original sound - Cameron Roh,fyp,cameronrohpovs,1200000,15700,170900,14400
4,21,YoungBoy - 💗,"nbayoungboy, yayamayweather, bluescrubspinkcrocs, hannahpoole",theehannahpoole,516400,4582,31100,5001
4,23,original sound - rachel,"airpods, airpodshack, fyp, school, highschool, skippingschool, fyp%E3%82%B7, foryou, plumcots, tiktok, viral, greenscreen",plumcots,376700,536,49400,335
4,24,original sound - south.parkour,"fyp, adoptme, friend, %F0%9F%A4%B7%E2%80%8D%E2%99%80%EF%B8%8F, viral, @0mgxmel0dy, @anthrbckupleahxh, @vincntt0, @2024weviee",..gorgmiaxo,143,26,16,1
5,0,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, tiktokmademebuyit, brighteyes, redlight, lifehacks, monkey",luminancered,608700,2301,50800,1860
5,1,som original - ~·.·~𝓙𝓮𝓷𝓷𝓲𝓮 🥢#,"fly, foryou",2khzhix..0,78,2,13,1
5,2,Diamondz n Roses - VaporGod,"draft, mikasaackerman, aot, mikasa, draft, halloweendraft, cosplay",zely.y,149300,601,25700,1775
5,3,original sound - Slim 199x,,sophieraiin,2700000,11300,379300,24800
5,5,"Fine, I'll Do It Myself - turkunsesii",igmirandahhmarie,mirandamarieox,82700,314,5001,1129
5,6,original sound - Keller Moore,"cadillac, deville, caddy, beater, fyp",kellermoore,1500000,4685,101200,22200
5,14,original sound - Gert Leroy Underwater,"swimming, freediving, underwater",gertleroy,6135,129,769,46
5,16,оригинальный звук - никто,,realburnttoasthehe,309300,1018,45500,3355
5,18,som original - rinx,"therianboy, fyp, therianthropy, quadrobics, dlaciebie, handmade, realwolfmask, therianwolf",wolf.spectrum,1320,210,624,3
